127.0.0.1 - - [12/Mar/2018:14:36:30 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:37:29 +0800] "GET /chapter14/my/index.do HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:37:47 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:29 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:41 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:42 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:43 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:43 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:43 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:44 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:44 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:44 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:44 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:45 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:38:45 +0800] "GET /Chapter14/my/index.do HTTP/1.1" 200 337
